operation,operand1,operand2,result,timestamp
Power,2,2,4,2025-10-12T10:43:13.160819
Power,3,3,27,2025-10-12T10:43:16.216914
Root,9,3,2.080083823051904090561947668902575969696044921875,2025-10-12T10:43:25.927692
Modulus,10,2,0,2025-10-12T10:51:15.866876
Modulus,21,3,0,2025-10-12T10:51:26.668963
IntegerDivision,10,3,3,2025-10-12T11:19:27.817257
Percentage,30,100,30.0,2025-10-12T11:27:48.103200
Percentage,2,3,66.66666666666666666666666667,2025-10-12T11:28:13.194072
Percentage,2,3,66.66666666666666666666666667,2025-10-12T11:33:53.840526
Percentage,10,3,333.3333333333333333333333333,2025-10-12T11:36:48.350807
Percentage,2,2,100,2025-10-12T11:38:58.622926
Percentage,4,5,80.0,2025-10-12T11:45:08.448705
AbsoluteDifference,2,-2,4,2025-10-12T11:51:23.366615
Addition,3,4,7,2025-10-12T12:01:33.163020
Addition,1,2,3,2025-10-12T12:08:36.016199
Addition,2,2,4,2025-10-13T10:39:53.783315
Addition,2,2,4,2025-10-13T10:47:02.272574
Addition,2,2,4,2025-10-13T10:54:42.456494
Addition,1,1,2,2025-10-13T11:00:54.058591
Addition,32,3,35,2025-10-13T12:59:20.509946
Addition,2,3,5,2025-10-13T13:19:13.934392
